Double, -1, 10000, 0, 0, 0, 0, 0, 0, 1, 100, 100
2011-01-01T12:00:10Z, 2011-01-01T12:00:10Z, Good, Raw, Double, 399.81
2011-01-01T12:00:20Z, 2011-01-01T12:00:20Z, Good, Raw, Double, 416.37
2011-01-01T12:00:30Z, 2011-01-01T12:00:30Z, Good, Raw, Double, 294.54
2011-01-01T12:00:40Z, 2011-01-01T12:00:40Z, Good, Raw, Double, 853.18
2011-01-01T12:00:50Z, 2011-01-01T12:00:50Z, Good, Raw, Double, 971.91
2011-01-01T12:01:00Z, 2011-01-01T12:01:00Z, Good, Raw, Double, 120.59
2011-01-01T12:01:00Z, 2011-01-01T12:01:00Z, Good, Annotation, 2012-01-02T08:00:00Z, Operator1, Scan failed,  Bad Data entered
2011-01-01T12:01:00Z, 2011-01-01T12:01:00Z, Good, Annotation, 2012-01-04T07:10:00Z, , Value cannot be verified
2011-01-01T12:01:10Z, 2011-01-01T12:01:10Z, Good, Raw, Double, 83.52
2011-01-01T12:01:20Z, 2011-01-01T12:01:20Z, Good, Raw, Double, 335.33
2011-01-01T12:01:20Z, 2011-01-01T12:01:20Z, Good, Annotation, 2012-01-04T07:00:00Z, Engineer1, Scanner fixed
2011-01-01T12:01:30Z, 2011-01-01T12:01:30Z, Uncertain, Raw, Double, 698.07
2011-01-01T12:01:40Z, 2011-01-01T12:01:40Z, Good, Raw, Double, 72.64
2011-01-01T12:01:40Z, 2011-01-01T12:01:40Z, Good, Annotation, 2012-01-02T08:00:00Z, Tehnician_1, Value flagged as questionable
2011-01-01T12:01:50Z, 2011-01-01T12:01:50Z, Good, Raw, Double, 910.23
2011-01-01T12:02:00Z, 2011-01-01T12:02:00Z, Bad, Raw, Double, 318.08
2011-01-01T12:02:10Z, 2011-01-01T12:02:10Z, Good, Raw, Double, 240.72
2011-01-01T12:02:20Z, 2011-01-01T12:02:20Z, Good, Raw, Double, 352.46
2011-01-01T12:02:30Z, 2011-01-01T12:02:30Z, Good, Raw, Double, 215.60
2011-01-01T12:02:40Z, 2011-01-01T12:02:40Z, Bad, Raw, Double, 812.42
2011-01-01T12:02:50Z, 2011-01-01T12:02:50Z, Bad, Raw, Double, 672.89
2011-01-01T12:03:00Z, 2011-01-01T12:03:00Z, Good, Raw, Double, 566.30
2011-01-01T12:03:10Z, 2011-01-01T12:03:10Z, Good, Raw, Double, 357.74
2011-01-01T12:03:20Z, 2011-01-01T12:03:20Z, Good, Raw, Double, 348.06
2011-01-01T12:03:30Z, 2011-01-01T12:03:30Z, Good, Raw, Double, 532.81
2011-01-01T12:03:40Z, 2011-01-01T12:03:40Z, Good, Raw, Double, 840.10
2011-01-01T12:03:50Z, 2011-01-01T12:03:50Z, Good, Raw, Double, 274.46
2011-01-01T12:04:00Z, 2011-01-01T12:04:00Z, Good, Raw, Double, 938.97
2011-01-01T12:04:10Z, 2011-01-01T12:04:10Z, Good, Raw, Double, 373.38
2011-01-01T12:04:20Z, 2011-01-01T12:04:20Z, Good, Raw, Double, 769.73
2011-01-01T12:04:30Z, 2011-01-01T12:04:30Z, Good, Raw, Double, 804.31
2011-01-01T12:04:40Z, 2011-01-01T12:04:40Z, Good, Raw, Double, 439.88
2011-01-01T12:04:50Z, 2011-01-01T12:04:50Z, Good, Raw, Double, 677.85
2011-01-01T12:05:00Z, 2011-01-01T12:05:00Z, Good, Raw, Double, 249.34
2011-01-01T12:05:10Z, 2011-01-01T12:05:10Z, Good, Raw, Double, 613.95
2011-01-01T12:05:20Z, 2011-01-01T12:05:20Z, Good, Raw, Double, 6.93
2011-01-01T12:05:30Z, 2011-01-01T12:05:30Z, Good, Raw, Double, 370.29
2011-01-01T12:05:40Z, 2011-01-01T12:05:40Z, Good, Raw, Double, 240.08
2011-01-01T12:05:50Z, 2011-01-01T12:05:50Z, Good, Raw, Double, 278.80
2011-01-01T12:06:00Z, 2011-01-01T12:06:00Z, Good, Raw, Double, 763.16
2011-01-01T12:06:10Z, 2011-01-01T12:06:10Z, Good, Raw, Double, 765.64
2011-01-01T12:06:20Z, 2011-01-01T12:06:20Z, Good, Raw, Double, 935.30
2011-01-01T12:06:30Z, 2011-01-01T12:06:30Z, Good, Raw, Double, 431.48
2011-01-01T12:06:40Z, 2011-01-01T12:06:40Z, Good, Raw, Double, 706.03
2011-01-01T12:06:50Z, 2011-01-01T12:06:50Z, Good, Raw, Double, 477.56
2011-01-01T12:07:00Z, 2011-01-01T12:07:00Z, Good, Raw, Double, 32.08
2011-01-01T12:07:10Z, 2011-01-01T12:07:10Z, Good, Raw, Double, 720.78
2011-01-01T12:07:20Z, 2011-01-01T12:07:20Z, Good, Raw, Double, 224.80
2011-01-01T12:07:30Z, 2011-01-01T12:07:30Z, Good, Raw, Double, 22.49
2011-01-01T12:07:40Z, 2011-01-01T12:07:40Z, Good, Raw, Double, 908.48
2011-01-01T12:07:50Z, 2011-01-01T12:07:50Z, Good, Raw, Double, 864.33
2011-01-01T12:08:00Z, 2011-01-01T12:08:00Z, Good, Raw, Double, 161.22
2011-01-01T12:08:10Z, 2011-01-01T12:08:10Z, Good, Raw, Double, 848.48
2011-01-01T12:08:20Z, 2011-01-01T12:08:20Z, Good, Raw, Double, 840.64
2011-01-01T12:08:30Z, 2011-01-01T12:08:30Z, Good, Raw, Double, 973.44
2011-01-01T12:08:40Z, 2011-01-01T12:08:40Z, Good, Raw, Double, 3.61
2011-01-01T12:08:50Z, 2011-01-01T12:08:50Z, Good, Raw, Double, 971.21
2011-01-01T12:09:00Z, 2011-01-01T12:09:00Z, Good, Raw, Double, 698.10
2011-01-01T12:09:10Z, 2011-01-01T12:09:10Z, Good, Raw, Double, 551.48
2011-01-01T12:09:20Z, 2011-01-01T12:09:20Z, Good, Raw, Double, 58.22
2011-01-01T12:09:30Z, 2011-01-01T12:09:30Z, Good, Raw, Double, 560.32
2011-01-01T12:09:40Z, 2011-01-01T12:09:40Z, Good, Raw, Double, 958.62
2011-01-01T12:09:50Z, 2011-01-01T12:09:50Z, Good, Raw, Double, 785.84
2011-01-01T12:10:00Z, 2011-01-01T12:10:00Z, Good, Raw, Double, 417.62
2011-01-01T12:10:10Z, 2011-01-01T12:10:10Z, Good, Raw, Double, 684.99
2011-01-01T12:10:20Z, 2011-01-01T12:10:20Z, Good, Raw, Double, 559.34
2011-01-01T12:10:30Z, 2011-01-01T12:10:30Z, Good, Raw, Double, 116.18
2011-01-01T12:10:40Z, 2011-01-01T12:10:40Z, Good, Raw, Double, 487.73
2011-01-01T12:10:50Z, 2011-01-01T12:10:50Z, Good, Raw, Double, 145.10
2011-01-01T12:11:00Z, 2011-01-01T12:11:00Z, Good, Raw, Double, 116.50
2011-01-01T12:11:10Z, 2011-01-01T12:11:10Z, Good, Raw, Double, 570.90
2011-01-01T12:11:20Z, 2011-01-01T12:11:20Z, Good, Raw, Double, 743.64
2011-01-01T12:11:30Z, 2011-01-01T12:11:30Z, Good, Raw, Double, 452.01
2011-01-01T12:11:40Z, 2011-01-01T12:11:40Z, Good, Raw, Double, 66.08
2011-01-01T12:11:50Z, 2011-01-01T12:11:50Z, Good, Raw, Double, 948.01
2011-01-01T12:12:00Z, 2011-01-01T12:12:00Z, Good, Raw, Double, 771.09
2011-01-01T12:12:10Z, 2011-01-01T12:12:10Z, Good, Raw, Double, 80.70
2011-01-01T12:12:20Z, 2011-01-01T12:12:20Z, Good, Raw, Double, 104.48
2011-01-01T12:12:30Z, 2011-01-01T12:12:30Z, Good, Raw, Double, 814.67
